stage,evaluation,active_effects,fixed_rate_margin_dB,delta_margin_dB,margin_min_dB,margin_max_dB,margin_peak_to_peak_dB,uplink_excess_attenuation_dB,downlink_excess_attenuation_dB,downlink_Tsys_K,fixed_rate_bit_rate_Mbps,fixed_rate_closed,selected_MODCOD,ACM_net_throughput_Mbps,interpretation
A0,cumulative,Thermal-noise-only static baseline,4.151581117444781,0.0,4.151581117444781,4.151581117444781,0.0,0.0,0.0,150.0,10.0,True,not evaluated,,Reference clear-sky fixed-rate link.
A1,cumulative,A0 + adjacent-satellite interference,3.706968843876055,-0.4446122735687261,3.706968843876055,3.706968843876055,0.0,0.0,0.0,150.0,10.0,True,not evaluated,,Isolates the ASI penalty.
A2,cumulative,A1 + transponder IMD,3.692795581102594,-0.014173262773461204,3.692795581102594,3.692795581102594,0.0,0.0,0.0,150.0,10.0,True,not evaluated,,Isolates the additional IMD penalty.
A3,cumulative,"A2 + replace fixed atmosphere with gas, cloud, and scintillation; fixed Tsys",3.768063896269929,0.07526831516733523,3.768063896269929,3.768063896269929,0.0,0.42540068384919516,0.406738098274861,150.0,10.0,True,not evaluated,,Replaces the fixed clear-sky atmospheric allowance.
A4,cumulative,A3 + rain attenuation; fixed Tsys,1.3551427398038243,-2.412921156466105,1.3551427398038243,1.3551427398038243,0.0,3.6488886469228947,2.2872317023714515,150.0,10.0,True,not evaluated,,Adds rain carrier attenuation without rain-emission noise.
A5,cumulative,A4 + dynamic clear-sky receiver Tsys; emission disabled,1.6190434198598869,0.2639006800560626,1.6190434198598869,1.6190434198598869,0.0,3.6488886469228947,2.2872317023714515,127.23638363457945,10.0,True,not evaluated,,Changes only the receiver-temperature baseline.
A6,cumulative,A5 + atmospheric emission in downlink Tsys,0.45309040554524493,-1.165953014314642,0.45309040554524493,0.45309040554524493,0.0,3.6488886469228947,2.2872317023714515,239.13406423681278,10.0,True,not evaluated,,Isolates the receiver-noise increase caused by the lossy sky.
A7,response,A6 + DVB-S2 ACM selection,0.45309040554524493,0.0,0.45309040554524493,0.45309040554524493,0.0,3.6488886469228947,2.2872317023714515,239.13406423681278,10.0,True,QPSK 1/2,29.66574,"ACM changes the service mode, not the physical fixed-rate margin."
D1,isolated diagnostic,ASI + IMD + dynamic clear-sky Tsys + 48-hour GEO motion,3.993616930122835,,3.9832878931716227,4.000433325412992,0.017145432241369107,0.0,0.0,127.23638363457945,10.0,True,not evaluated,,Reports the margin envelope rather than a one-sided penalty.
