link,frequency_GHz,bandwidth_MHz,bit_rate_Mbps,range_km,elevation_deg,tx_gain_dBi,rx_gain_dBi,EIRP_dBW,G_over_T_dB_per_K,Tsys_K,FSPL_dB,fixed_losses_dB,rain_attenuation_dB,total_losses_dB,C_N0_dBHz,C_N_dB,Eb_N0_dB,required_Eb_N0_dB,margin_dB,carrier_power_dBW
Uplink: GS1 to GEO satellite,14.0,36.0,10.0,37658.78992289017,41.59952992966065,48.85728583810354,,60.867585794743356,3.0,,206.8898879309192,1.5,0.0,208.3898879309192,84.07686503704181,8.51384002936895,14.076865037041813,7.0,7.076865037041813,
Downlink: GEO satellite to GS2,12.0,36.0,10.0,37822.525205787,39.44310549852194,,38.99897540004566,46.0,16.738062809488845,150.0,205.58863534044457,1.5,0.0,207.08863534044457,84.24859464226193,8.685569634589072,14.248594642261935,7.0,7.248594642261935,-122.58965994039892
