design_availability_percent,design_exceedance_percent,fade_application,availability_interpretation,uplink_total_attenuation_dB,uplink_applied_attenuation_dB,uplink_rain_attenuation_dB,uplink_gaseous_attenuation_dB,uplink_cloud_attenuation_dB,uplink_scintillation_dB,downlink_total_attenuation_dB,downlink_applied_attenuation_dB,downlink_rain_attenuation_dB,downlink_gaseous_attenuation_dB,downlink_cloud_attenuation_dB,downlink_scintillation_dB,faded_combined_Eb_N0_dB_noise_only,faded_combined_margin_dB_noise_only,faded_combined_Eb_NI_dB,faded_combined_margin_dB_with_interference,downlink_available_Es_N0_dB,downlink_implementation_margin_dB,downlink_selected_MODCOD,downlink_selected_required_Es_N0_dB,downlink_selected_spectral_efficiency_bps_per_Hz,downlink_ACM_link_margin_dB,downlink_net_throughput_Mbps
99.999,0.001,both,Per-path exceedance applied simultaneously as a stress case; not a joint end-to-end availability estimate.,21.427576177195398,21.427576177195398,21.14954418496556,0.1119592549818175,0.1623494990172778,0.3983872201395028,14.355540984240156,14.355540984240156,14.127817889802511,0.0961661592620875,0.1253040387280961,0.4222389011664344,-8.59170667838952,-15.59170667838952,-8.596837247987292,-15.596837247987292,-13.368049795183929,1.0,link closed: none,,0.0,,0.0
99.997,0.003,both,Per-path exceedance applied simultaneously as a stress case; not a joint end-to-end availability estimate.,15.769207069943088,15.769207069943088,15.489829159621237,0.1119592549818175,0.1623494990172778,0.3983872201395028,10.349610740203154,10.349610740203154,10.119442912015561,0.0961661592620875,0.1253040387280961,0.4222389011664344,-3.4796003882750597,-10.47960038827506,-3.4962269012353717,-10.49622690123537,-8.267439448432015,1.0,link closed: none,,0.0,,0.0
99.99,0.01,both,Per-path exceedance applied simultaneously as a stress case; not a joint end-to-end availability estimate.,10.330313204216555,10.330313204216555,10.04823545262338,0.1119592549818175,0.1623494990172778,0.3983872201395028,6.641427289899712,6.641427289899712,6.406323444417088,0.0961661592620875,0.1253040387280961,0.4222389011664344,1.3718035895302023,-5.628196410469798,1.3211931412596343,-5.678806858740366,-3.450019405936999,1.0,link closed: none,,0.0,,0.0
99.97,0.03,both,Per-path exceedance applied simultaneously as a stress case; not a joint end-to-end availability estimate.,6.510588313678606,6.510588313678606,6.227690310622028,0.1119592549818175,0.1623494990172778,0.33142881893978815,4.119962609975123,4.119962609975123,3.883130331113731,0.0961661592620875,0.1253040387280961,0.3512716604589423,4.861674834165612,-2.138325165834388,4.749437756939522,-2.250562243060478,-0.02177479025711193,1.0,QPSK 1/3,-1.24,0.656448,0.21822520974288806,19.69344
99.9,0.1,both,Per-path exceedance applied simultaneously as a stress case; not a joint end-to-end availability estimate.,3.64888864692279,3.64888864692279,3.3644027398104903,0.1119592549818175,0.1623494990172778,0.2681196924868833,2.287231702371385,2.287231702371385,2.0472553705908436,0.0961661592620875,0.1253040387280961,0.28417217875889966,7.664652076364803,0.6646520763648027,7.453090405545366,0.4530904055453657,2.6818778583487273,1.0,QPSK 1/2,1.0,0.988858,0.6818778583487273,29.66574
99.7,0.3,both,Per-path exceedance applied simultaneously as a stress case; not a joint end-to-end availability estimate.,2.0510683627578574,2.0510683627578574,1.7645613881750266,0.1119592549818175,0.1623494990172778,0.21716022812604396,1.2939071577245138,1.2939071577245138,1.0501146409211097,0.0961661592620875,0.1253040387280961,0.2301617408030429,9.385768399972022,2.3857683999720223,9.07492974764886,2.0749297476488593,4.303717200452226,1.0,QPSK 2/3,3.1,1.322253,0.20371720045222608,39.66759
99.0,1.0,both,Per-path exceedance applied simultaneously as a stress case; not a joint end-to-end availability estimate.,1.0825065700460494,1.0825065700460494,0.7938812353168312,0.1119592549818175,0.1623494990172778,0.1660869455834503,0.7083903342059774,0.7083903342059774,0.4610675529255721,0.0961661592620875,0.1253040387280961,0.17603067030284927,10.520705635982367,3.5207056359823667,10.121189400392364,3.121189400392364,5.349976853195727,1.0,QPSK 3/4,4.03,1.487473,0.319976853195727,44.62419
97.0,3.0,both,Per-path exceedance applied simultaneously as a stress case; not a joint end-to-end availability estimate.,0.6407968125611733,0.6407968125611733,0.3523513336312928,0.1119592549818175,0.1623494990172778,0.12145869741342773,0.44613965786951565,0.44613965786951565,0.20013398535882146,0.0961661592620875,0.1253040387280961,0.12873050223597512,11.068124126850563,4.068124126850563,10.617633263563503,3.617633263563503,5.846420716366865,1.0,QPSK 4/5,4.68,1.587196,0.16642071636686495,47.61588
95.0,5.0,both,Per-path exceedance applied simultaneously as a stress case; not a joint end-to-end availability estimate.,0.5219211572390281,0.5219211572390281,0.23504987791873108,0.1119592549818175,0.1623494990172778,0.10070996233353775,0.3748544667060905,0.3748544667060905,0.1321330329456021,0.0961661592620875,0.1253040387280961,0.10673952798319064,11.218729313815729,4.218729313815729,10.753165097030605,3.753165097030605,5.981952549833963,1.0,QPSK 4/5,4.68,1.587196,0.30195254983396325,47.61588
