time_hours,weather,satellite_longitude_deg,satellite_latitude_deg,satellite_radius_km,uplink_range_km,downlink_range_km,uplink_elevation_deg,downlink_elevation_deg,uplink_FSPL_dB,downlink_FSPL_dB,uplink_rain_attenuation_dB,downlink_rain_attenuation_dB,downlink_Tsys_K,uplink_Eb_N0_dB,downlink_Eb_N0_dB,combined_Eb_N0_dB_noise_only,combined_margin_dB_noise_only,combined_Eb_NI_dB,combined_margin_dB_with_interference,uplink_ASI_C_I_dB,downlink_ASI_C_I_dB,IMD_C_I_dB,BER_with_interference_uncoded,BER_with_interference_with_coding_gain,shannon_capacity_with_interference_Mbps,shannon_capacity_margin_with_interference_Mbps
0.0,uplink: clear; downlink: clear,13.0,0.04,42164.0,37655.46142661379,37819.33954484791,41.64402779164291,39.48414082203014,206.88912018906908,205.5879037270861,0.1378116295698949,0.028610246790328534,129.0360732565241,13.939821149322057,14.874517215293565,11.371771746046235,4.371771746046235,10.890494396759312,3.890494396759312,25.600219059281045,15.684999744370089,30.0,3.6173509003495116e-07,1.2884273264485119e-12,77.06734361282787,67.06734361282787
1.0,uplink: clear; downlink: clear,13.015570680260403,0.03862960244411476,42153.619546493064,37645.27442030201,37808.63593946244,41.64054480934906,39.48738348360241,206.88677006029246,205.5854451041986,0.019962052230356832,0.08285699937100215,132.4267864825063,14.060020855438182,14.710082065415662,11.362600023296892,4.362600023296892,10.882202433541607,3.8822024335416074,25.599328333718976,15.684204778666206,30.0,3.706347462309082e-07,1.351293136640958e-12,76.99068337884674,66.99068337884674
2.0,uplink: clear; downlink: clear,13.03007445941219,0.03461230924951784,42143.95036039187,37636.013838481,37798.88433647539,41.63424558934466,39.487586776888364,206.8846331045111,205.5832045506796,0.043080514309972465,0.07668648034436007,132.0431441881743,14.039039349139955,14.731092970985571,11.360995813782353,4.360995813782353,10.880474093150248,3.880474093150248,25.596361306322073,15.68133020252991,30.0,3.725150482853134e-07,1.3647627151269264e-12,76.97470884051091,66.97470884051091
3.0,uplink: clear; downlink: clear,13.042517540280324,0.02822338485496675,42135.65497314645,37628.31415258494,37790.752868321244,41.62556341347601,39.48473723868021,206.88285593798457,205.5813358015265,0.036226156236498955,0.006001203853391729,127.61004886320536,14.047670873739946,14.951956818232361,11.466020034783654,4.466020034783654,10.973949744044429,3.973949744044429,25.592152941390985,15.677204664976355,30.0,2.8252884784547444e-07,7.936950039789975e-13,77.84074132338407,67.84074132338407
4.0,uplink: clear; downlink: clear,13.052047324484338,0.019900597579212895,42129.30178367711,37622.702845863525,37784.7986211299,41.61509557998612,39.47903159600115,206.88156056171078,205.57996715960275,0.039490460281258105,0.0041843106268260434,127.49596778172089,14.045701945968972,14.959026604184174,11.468099321277037,4.4680993212770375,10.975366583577252,3.9753665835772516,25.587853278009277,15.672972510604337,30.0,2.8133477293986907e-07,7.871312585862488e-13,77.85390028889121,67.85390028889121
5.0,uplink: clear; downlink: clear,13.058010832375167,0.0102142237892986,42125.32611174989,37619.56429676561,37781.4294850785,41.603561830048896,39.470862887935795,206.8808359399752,205.57919263519761,0.0020034136753335954,0.048262120110343545,130.27142396211238,14.083913614310461,14.82219621467678,11.427085689365867,4.427085689365867,10.938404662749033,3.938404662749033,25.58461642563381,15.669783176887876,30.0,3.140648111966361e-07,9.766855410808786e-13,77.51092895855936,67.51092895855936
6.0,uplink: clear; downlink: clear,13.059999445120907,-0.00017202736642168,42124.0003699194,37619.11347037495,37780.876231161645,41.59175436061715,39.460792970663626,206.88073184914342,205.57906544208407,0.04896252992355005,0.13325327812239826,135.54341111712412,14.037058588894041,14.565039743078387,11.282730669796194,4.282730669796194,10.809055793122026,3.8090557931220257,25.58329003523702,15.668481012977749,30.0,4.583762433055913e-07,2.0492338325915296e-12,76.31587706089667,66.31587706089667
7.0,uplink: clear; downlink: clear,13.057876903219238,-0.010546491228017497,42125.41539785384,37621.381212737346,37783.17672084416,41.58048302978127,39.449513442277684,206.88125543315164,205.5795943125912,0.08041765137812376,0.09763930364756855,133.34909290415834,14.00507988343125,14.671008299177174,11.314992795636584,4.314992795636584,10.838063524716631,3.838063524716631,25.58418878547627,15.669379019251943,30.0,4.2150980834607687e-07,1.7387313885702798e-12,76.58317377175452,66.58317377175452
8.0,uplink: clear; downlink: clear,13.051788642981876,-0.02019831079951128,42129.47423801208,37626.21214930865,37788.173324597534,41.570519647465595,39.43779782086714,206.88237071086593,205.5807428946611,0.022806568789946587,0.09647683128034744,133.27882225783006,14.06157568830514,14.673311383734472,11.346381538379916,4.346381538379916,10.866460763624634,3.8664607636246338,25.587012613667838,15.672177204178189,30.0,3.8808912727468303e-07,1.4788387146028584e-12,76.84524113470802,66.84524113470802
9.0,uplink: clear; downlink: clear,13.042151831256266,-0.028466144583372023,42135.89877916249,37633.275328272415,37795.52372273958,41.562545226926595,39.42644836966558,206.8840010699132,205.5824322734492,0.15973524882716048,0.1398141193223084,135.9510108438231,13.923016649220642,14.542071769806682,11.211223354185847,4.211223354185847,10.745628546610332,3.745628546610332,25.590931434537882,15.676047286403797,30.0,5.495806847195793e-07,2.924173101009508e-12,75.73284773940843,65.73284773940843
