time_hours,weather,satellite_longitude_deg,satellite_latitude_deg,satellite_radius_km,uplink_range_km,downlink_range_km,uplink_elevation_deg,downlink_elevation_deg,uplink_FSPL_dB,downlink_FSPL_dB,uplink_rain_attenuation_dB,downlink_rain_attenuation_dB,downlink_Tsys_K,uplink_Eb_N0_dB,downlink_Eb_N0_dB,combined_Eb_N0_dB_noise_only,combined_margin_dB_noise_only,combined_Eb_NI_dB,combined_margin_dB_with_interference,uplink_ASI_C_I_dB,downlink_ASI_C_I_dB,IMD_C_I_dB,BER_with_interference_uncoded,BER_with_interference_with_coding_gain,shannon_capacity_with_interference_Mbps,shannon_capacity_margin_with_interference_Mbps
0.0,clear,13.0,0.04,42164.0,37655.46142661379,37819.33954484791,41.64402779164291,39.48414082203014,206.88912018906908,205.5879037270861,0.0,0.0,127.23039545273618,14.077632778891939,14.964330075784574,11.488091087967618,4.488091087967618,10.994464711850092,3.9944647118500924,25.600219059281045,15.684999744370089,30.0,2.656886309806948e-07,7.035922253153132e-13,78.03136858002014,68.03136858002014
0.16666666666666666,clear,13.002624324230073,0.03996172014057371,42162.25045051328,37653.72842166405,37817.52016181741,41.643655570619416,39.48488539484992,206.88872043202034,205.5874858630902,0.0,0.0,127.2302869278759,14.078032535940679,14.964751644222929,11.488500641243292,4.4885006412432915,10.994833410550438,3.994833410550438,25.6002349176855,15.685031515547365,30.0,2.6539466063458463e-07,7.020665454949501e-13,78.03479640350041,68.03479640350041
0.3333333333333333,clear,13.005243625522015,0.03984695382967673,42160.50424965199,37652.005114471074,37815.71036729291,41.6431987117885,39.485549860237185,206.888322893735,205.58707018137466,0.0,0.0,127.23019008290859,14.07843007422602,14.965170631696253,11.488907813052194,4.488907813052194,10.995193010325803,3.995193010325803,25.60018367843995,15.68499624842559,30.0,2.6510823515830307e-07,7.005815819321486e-13,78.03813969588775,68.03813969588775
0.5,clear,13.007852890551563,0.03965592072922145,42158.764739632294,37650.29480345326,37813.91362527281,41.64265809027494,39.48613294189962,206.88792833546077,205.5866574779372,0.0,0.0,127.2301051025216,14.078824632500243,14.96558623590164,11.489311823708846,4.489311823708846,10.995542879176373,3.995542879176373,25.60006600124244,15.684894572384744,30.0,2.64829835206053e-07,6.991397012260315e-13,78.04139257647658,68.04139257647658
0.6666666666666666,clear,13.010447125203791,0.039388986475219434,42157.03524986414,37648.60076210893,37812.13337473372,41.642034742587505,39.486633520163,206.8875375128318,205.58624854317657,0.0,0.0,127.2300321487154,14.079215455129201,14.965997660909721,11.489711899482757,4.4897118994827565,10.995882441890789,3.995882441890789,25.59988304276651,15.684727613711551,30.0,2.6455989499463793e-07,6.977430232573249e-13,78.04454969227054,68.04454969227054
0.8333333333333333,clear,13.01302136413181,0.03904666197795664,42155.31909057879,37646.92623275105,37810.37302304804,41.64132986462164,39.48705063414231,206.88715117441885,205.5858441603758,0.0,0.0,127.2299713604984,14.079601793542167,14.966404118691742,11.490107274083087,4.490107274083087,10.996211180455857,3.996211180455857,25.59963644731078,15.684496986306748,30.0,2.642988023261223e-07,6.963934231872309e-13,78.04760622186656,68.04760622186656
1.0,clear,13.015570680260403,0.03862960244411476,42153.619546493064,37645.27442030201,37808.63593946244,41.64054480934906,39.48738348360241,206.88677006029246,205.5854451041986,0.0,0.0,127.22992285362574,14.079982907668551,14.966804830632213,11.490497190129304,4.490497190129304,10.99652863407415,3.9965286340741493,25.599328333718976,15.684204778666206,30.0,2.6404689890931667e-07,6.950925349200282e-13,78.050557875691,68.050557875691
1.1666666666666665,clear,13.018090194216418,0.03813860612271016,42151.93987052239,37643.64848616031,37806.92544864951,41.639681084198614,39.48763143050421,206.88639490060177,205.58505213920154,0.0,0.0,127.2298867203822,14.080358067359242,14.96719902902393,11.49088090060576,4.4908809006057595,10.996834398798896,3.996834398798896,25.598961278715308,15.683853537262632,30.0,2.638044809684631e-07,6.938417559478545e-13,78.05340089267357,68.05340089267357
1.3333333333333333,clear,13.020575083667854,0.037574612777250965,42150.283277554765,37642.051542150824,37805.24482434507,41.63874034813413,39.4877940002334,206.8860264141715,205.5846660183646,0.0,0.0,127.22986302940984,14.080726553789503,14.967585958543452,11.491257670297045,4.4912576702970455,10.99712812679283,3.9971281267928305,25.59853829673983,15.683446246432178,30.0,2.635718001301308e-07,6.926422535136709e-13,78.05613203342104,68.05613203342104
1.5,clear,13.023020592553765,0.03693870188703624,42148.65293829749,37640.48664457041,37803.59728308331,41.63772440843473,39.487870882509284,206.88566530712046,205.58428748164386,0.0,0.0,127.22985182558051,14.081087660840552,14.967964877702855,11.491626777201134,4.491626777201134,10.997409525225574,3.9974095252255744,25.59806281646118,15.682986304956177,30.0,2.6334906457375707e-07,6.914949720025814e-13,78.05874857002519,68.05874857002519
