design_availability_percent,design_exceedance_percent,fade_application,availability_interpretation,uplink_total_attenuation_dB,uplink_applied_attenuation_dB,uplink_rain_attenuation_dB,uplink_gaseous_attenuation_dB,uplink_cloud_attenuation_dB,uplink_scintillation_dB,downlink_total_attenuation_dB,downlink_applied_attenuation_dB,downlink_rain_attenuation_dB,downlink_gaseous_attenuation_dB,downlink_cloud_attenuation_dB,downlink_scintillation_dB,faded_combined_Eb_N0_dB_noise_only,faded_combined_margin_dB_noise_only,faded_combined_Eb_NI_dB,faded_combined_margin_dB_with_interference,downlink_available_Es_N0_dB,downlink_implementation_margin_dB,downlink_selected_MODCOD,downlink_selected_required_Es_N0_dB,downlink_selected_spectral_efficiency_bps_per_Hz,downlink_ACM_link_margin_dB,downlink_net_throughput_Mbps
99.9,0.09999999999999432,uplink,Per-path exceedance applied to the uplink only.,3.6488886469228947,3.6488886469228947,3.3644027398105956,0.1119592549818175,0.1623494990172778,0.268119692486886,2.2872317023714515,0.0,2.0472553705909102,0.0961661592620875,0.1253040387280961,0.2841721787589026,9.482627465226429,2.482627465226429,9.165028673602377,2.165028673602377,4.3938161264057385,1.0,QPSK 2/3,3.1,1.322253,0.2938161264057384,39.66759
99.9,0.09999999999999432,downlink,Per-path exceedance applied to the downlink only.,3.6488886469228947,0.0,3.3644027398105956,0.1119592549818175,0.1623494990172778,0.268119692486886,2.2872317023714515,2.2872317023714515,2.0472553705909102,0.0961661592620875,0.1253040387280961,0.2841721787589026,8.87517593879825,1.8751759387982503,8.59773873795132,1.5977387379513193,3.8265261907546773,1.0,QPSK 3/5,2.23,1.188304,0.5965261907546773,35.64912
99.9,0.09999999999999432,both,Per-path exceedance applied simultaneously as a stress case; not a joint end-to-end availability estimate.,3.6488886469228947,3.6488886469228947,3.3644027398105956,0.1119592549818175,0.1623494990172778,0.268119692486886,2.2872317023714515,2.2872317023714515,2.0472553705909102,0.0961661592620875,0.1253040387280961,0.2841721787589026,7.664652076364675,0.6646520763646748,7.453090405545245,0.45309040554524493,2.6818778583486136,1.0,QPSK 1/2,1.0,0.988858,0.6818778583486136,29.66574
